,CB,DE,DT,FB,FS,ILB,LS,OG,OLB,OT,P,QB,RB,SS,TE,WR
CB,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.35
DE,0.0,0.71,0.05,0.0,0.0,0.01,0.0,0.0,0.04,0.02,0.0,0.01,0.0,0.0,0.15,0.0
DT,0.0,0.07,0.68,0.0,0.0,0.0,0.0,0.13,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
FB,0.0,0.12,0.0,0.21,0.0,0.24,0.0,0.0,0.29,0.0,0.0,0.0,0.15,0.0,0.0,0.0
FS,0.25,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.01,0.0,0.56
ILB,0.0,0.05,0.0,0.03,0.0,0.31,0.0,0.0,0.44,0.0,0.01,0.02,0.07,0.0,0.06,0.0
LS,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
OG,0.0,0.01,0.27,0.0,0.0,0.0,0.0,0.5,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
OLB,0.0,0.09,0.0,0.04,0.0,0.09,0.0,0.0,0.52,0.0,0.0,0.04,0.1,0.01,0.07,0.04
OT,0.0,0.03,0.07,0.0,0.0,0.0,0.0,0.19,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.39,0.29,0.03,0.0,0.03,0.19
QB,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.06,0.0,0.01,0.74,0.02,0.0,0.03,0.12
RB,0.07,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.73,0.01,0.0,0.1
SS,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.33,0.08,0.0,0.49
TE,0.0,0.18,0.01,0.0,0.0,0.02,0.0,0.0,0.09,0.0,0.0,0.01,0.0,0.0,0.66,0.02
WR,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.01,0.01,0.65
